species	speciations	duplications	losses
Node_Episyrphus_balteatus_Anastrepha_ludens_0	6	0	1
Node_Episyrphus_balteatus_Eupeodes_corollae_0	5	1	2
Node_Eriocheir_sinensis_Scylla_paramamosain_0	1	0	1
Node_Folsomia_candida_Cloeon_dipterum_0	6	3	0
Node_Frankliniella_occidentalis_Homalodisca_vitripennis_0	9	0	7
Node_Frankliniella_occidentalis_Pediculus_humanus_corporis_0	16	1	3
Node_Frankliniella_occidentalis_Thrips_palmi_0	6	3	6
Node_Glossina_fuscipes_Calliphora_vicina_0	11	0	6
Node_Gonioctena_quinquepunctata_Diabrotica_virgifera_virgifera_0	4	0	2
Node_Gonioctena_quinquepunctata_Leptinotarsa_decemlineata_0	2	0	2
Node_Halyomorpha_halys_Rhodnius_prolixus_0	6	0	1
Node_Helicoverpa_armigera_Helicoverpa_zea_0	3	0	2
Node_Helicoverpa_armigera_Spodoptera_frugiperda_0	5	0	0
Node_Hermetia_illucens_Condylostylus_longicornis_0	10	1	1
Node_Hetaerina_americana_Ischnura_elegans_0	2	0	1
Node_Homalodisca_vitripennis_Bemisia_tabaci_0	7	0	2
Node_Homalodisca_vitripennis_Halyomorpha_halys_0	7	0	0
Node_Homalodisca_vitripennis_Laodelphax_striatellus_0	2	0	5
Node_Hyposmocoma_kahamanoa_Chilo_suppressalis_0	10	2	0
Node_Hyposmocoma_kahamanoa_Pectinophora_gossypiella_0	6	0	4
Node_Ignelater_luminosus_Abscondita_terminalis_0	2	0	1
Node_Lamprigera_yunnana_Photinus_pyralis_0	2	0	1
Node_Laodelphax_striatellus_Nilaparvata_lugens_0	1	0	1
Node_Leguminivora_glycinivorella_Cydia_pomonella_0	4	1	5
Node_Leguminivora_glycinivorella_Hyposmocoma_kahamanoa_0	8	4	0
Node_Leptidea_sinapis_Aricia_agestis_0	7	1	1
Node_Leptidea_sinapis_Colias_croceus_0	4	0	3
Node_Lucilia_cuprina_Lucilia_sericata_0	19	4	2
Node_Lutzomyia_longipalpis_Bradysia_coprophila_0	12	2	4
Node_Lutzomyia_longipalpis_Phlebotomus_argentipes_0	6	2	8
Node_Malaya_genurostris_Culex_pipiens_pallens_0	11	1	1
Node_Malaya_genurostris_Sabethes_cyaneus_0	8	1	4
Node_Malaya_genurostris_Topomyia_yanbarensis_0	6	1	3
Node_Manduca_sexta_Arctia_plantaginis_0	5	0	3
Node_Manduca_sexta_Bombyx_mandarina_0	3	0	2
