species_label	speciations	duplications	losses
Node_Homalodisca_vitripennis_Bemisia_tabaci_0	9	0	3
Node_Homalodisca_vitripennis_Halyomorpha_halys_0	9	0	0
Node_Homalodisca_vitripennis_Laodelphax_striatellus_0	8	0	1
Node_Hylaeus_anthracinus_Hylaeus_volcanicus_0	1	0	0
Node_Hyposmocoma_kahamanoa_Chilo_suppressalis_0	10	4	1
Node_Hyposmocoma_kahamanoa_Pectinophora_gossypiella_0	4	0	6
Node_Ignelater_luminosus_Abscondita_terminalis_0	6	0	0
Node_Lamprigera_yunnana_Photinus_pyralis_0	7	1	0
Node_Laodelphax_striatellus_Nilaparvata_lugens_0	8	2	2
Node_Leguminivora_glycinivorella_Cydia_pomonella_0	3	0	4
Node_Leguminivora_glycinivorella_Hyposmocoma_kahamanoa_0	7	3	0
Node_Leptidea_sinapis_Aricia_agestis_0	8	0	1
Node_Leptidea_sinapis_Colias_croceus_0	4	0	4
Node_Leptopilina_heterotoma_Leptopilina_boulardi_0	1	0	1
Node_Linepithema_humile_Nylanderia_fulva_0	4	1	0
Node_Linepithema_humile_Pseudomyrmex_gracilis_0	2	0	2
Node_Lucilia_cuprina_Lucilia_sericata_0	2	0	0
Node_Lutzomyia_longipalpis_Bradysia_coprophila_0	8	0	2
Node_Lutzomyia_longipalpis_Phlebotomus_argentipes_0	1	0	7
Node_Malaya_genurostris_Culex_pipiens_pallens_0	3	0	0
Node_Malaya_genurostris_Sabethes_cyaneus_0	3	0	0
Node_Malaya_genurostris_Topomyia_yanbarensis_0	2	0	1
Node_Manduca_sexta_Arctia_plantaginis_0	7	0	2
Node_Manduca_sexta_Bombyx_mandarina_0	5	0	2
Node_Maniola_hyperantus_Maniola_jurtina_0	4	0	0
Node_Megachile_rotundata_Ceratina_calcarata_0	1	0	0
Node_Megachile_rotundata_Osmia_bicornis_bicornis_0	1	0	0
Node_Megalopta_genalis_Nomia_melanderi_0	1	0	0
Node_Melanaphis_sacchari_Aphis_craccivora_0	3	0	0
Node_Melitaea_cinxia_Nymphalis_io_0	4	0	1
Node_Microplitis_demolitor_Microplitis_mediator_0	1	0	0
Node_Monomorium_pharaonis_Solenopsis_invicta_0	3	0	2
Node_Monomorium_pharaonis_Wasmannia_auropunctata_0	5	1	1
Node_Musca_domestica_Musca_vetustissima_0	3	0	0
Node_Neodiprion_fabricii_Neodiprion_lecontei_0	1	0	0
Node_Neodiprion_fabricii_Neodiprion_virginianus_0	1	0	0
Node_Neodiprion_lecontei_Neodiprion_pinetum_0	1	0	0
Node_Nylanderia_fulva_Camponotus_floridanus_0	4	1	1
Node_Nylanderia_fulva_Pogonomyrmex_barbatus_0	4	0	0
Node_Nymphalis_io_Vanessa_cardui_0	4	0	0
Node_Ochlerotatus_camptorhynchus_Armigeres_subalbatus_0	2	0	1
Node_Onthophagus_taurus_Dalotia_coriaria_0	6	0	9
Node_Onthophagus_taurus_Tenebrio_molitor_0	15	1	0
Node_Orussus_abietinus_Belonocnema_kinseyi_0	4	1	0
Node_Osmia_bicornis_bicornis_Osmia_lignaria_0	1	0	0
Node_Ostrinia_furnacalis_Ostrinia_nubilalis_0	4	0	3
Node_Papilio_machaon_Papilio_xuthus_0	4	0	0
Node_Papilio_polytes_Papilio_machaon_0	4	0	1
Node_Parnassius_apollo_Leptidea_sinapis_0	9	2	3
Node_Parnassius_apollo_Papilio_polytes_0	5	0	4
Node_Pediculus_humanus_corporis_Athalia_rosae_0	14	0	0
Node_Periplaneta_americana_Zootermopsis_nevadensis_0	7	0	0
Node_Phlebotomus_argentipes_Phlebotomus_papatasi_0	1	0	0
Node_Phymastichus_coffea_Ceratosolen_solmsi_marchali_0	1	0	1
Node_Pieris_brassicae_Pieris_napi_0	4	0	0
Node_Pieris_rapae_Pieris_brassicae_0	4	1	1
Node_Planococcus_citri_Adelges_cooleyi_0	6	0	0
Node_Plutella_xylostella_Culicoides_brevitarsis_0	11	0	2
Node_Plutella_xylostella_Leguminivora_glycinivorella_0	4	1	8
Node_Pogonomyrmex_barbatus_Vollenhovia_emeryi_0	3	0	1
Node_Polistes_canadensis_Polistes_fuscatus_0	1	0	0
Node_Polistes_dominula_Ampulex_compressa_0	2	1	3
Node_Polistes_dominula_Polistes_canadensis_0	1	0	0
Node_Polistes_dominula_Vespula_pensylvanica_0	1	0	1
Node_Procambarus_clarkii_Eriocheir_sinensis_0	3	0	2
Node_Procambarus_clarkii_Folsomia_candida_0	5	4	0
Node_Rhodnius_prolixus_Apolygus_lucorum_0	3	0	0
Node_Rhopalosiphum_maidis_Rhopalosiphum_padi_0	3	0	0
Node_Rhynchophorus_ferrugineus_Sitophilus_oryzae_0	2	0	0
Node_Sabethes_cyaneus_Wyeomyia_smithii_0	2	0	1
Node_Scaptodrosophila_lebanonensis_Drosophila_sulfurigaster_albostrigata_0	6	2	0
Node_Sipha_flava_Acyrthosiphon_pisum_0	4	0	1
Node_Spodoptera_frugiperda_Spodoptera_litura_0	3	0	0
Node_Stomoxys_calcitrans_Musca_domestica_0	3	1	0
Node_Temnothorax_curvispinosus_Temnothorax_longispinosus_0	3	0	2
Node_Tenebrio_molitor_Coccinella_septempunctata_0	15	1	1
Node_Tenebrio_molitor_Tribolium_castaneum_0	8	0	7
Node_Tenebrio_molitor_Zophobas_morio_0	8	0	0
Node_Toxorhynchites_rutilus_septentrionalis_Anopheles_coustani_0	2	0	3
Node_Toxorhynchites_rutilus_septentrionalis_Uranotaenia_lowii_0	2	0	0
Node_Trachymyrmex_septentrionalis_Acromyrmex_echinatior_0	3	0	1
Node_Tribolium_castaneum_Tribolium_madens_0	3	0	5
